sno,sna,sarea,ar,VILLAGE_ID,VILLAGE,TOWN,V_ID,TOWN_ID,lng,lat
500101008,YouBike2.0_新生南路三段52號前,大安區,新生南路三段52號,43,大學里,大安區,63000030-043,63000030,121.53407,25.02112
500101009,YouBike2.0_新生南路三段66號前,大安區,新生南路三段66號東側,43,大學里,大安區,63000030-043,63000030,121.53384,25.01976
500101010,YouBike2.0_新生南路三段82號前,大安區,新生南路三段82號,43,大學里,大安區,63000030-043,63000030,121.53361,25.01894
500101012,YouBike2.0_辛亥路一段30號前,大安區,辛亥路一段30號,43,大學里,大安區,63000030-043,63000030,121.52982,25.01986
500101014,YouBike2.0_羅斯福路三段311號前,大安區,羅斯福路三段311號,43,大學里,大安區,63000030-043,63000030,121.53202,25.01717
500101016,YouBike2.0_羅斯福路三段245號前,大安區,羅斯福路三段245號,43,大學里,大安區,63000030-043,63000030,121.52989,25.01927
500101018,YouBike2.0_溫州公園,大安區,羅斯福路三段283巷11號,43,大學里,大安區,63000030-043,63000030,121.53156,25.01895
500101020,YouBike2.0_溫州停車場,大安區,新生南路三段54巷/溫州街口,43,大學里,大安區,63000030-043,63000030,121.5331,25.02093
500101184,YouBike2.0_新生南路三段94巷口,大安區,新生南路三段94號前,43,大學里,大安區,63000030-043,63000030,121.53334,25.01744
500101021,YouBike2.0_銘傳國小側門,大安區,羅斯福路四段21號旁天橋下,57,學府里,大安區,63000030-057,63000030,121.53549,25.01385
500101022,YouBike2.0_捷運公館站(2號出口),大安區,捷運公館站(2號出口)外側,57,學府里,大安區,63000030-057,63000030,121.53438,25.01491
500101023,YouBike2.0_第二學生活動中心,大安區,羅斯福路四段107號(西南側),57,學府里,大安區,63000030-057,63000030,121.53661,25.01244
500101032,YouBike2.0_臺大男一舍前,大安區,長興街50號西北側,57,學府里,大安區,63000030-057,63000030,121.54535,25.01637
500101033,YouBike2.0_臺大男六舍前,大安區,大安區長興街31號,57,學府里,大安區,63000030-057,63000030,121.5452,25.01664
500101036,YouBike2.0_臺大萬才館前,大安區,臺大萬才館北側,57,學府里,大安區,63000030-057,63000030,121.54497,25.02032
500101037,YouBike2.0_臺大國青大樓宿舍前,大安區,辛亥路三段30號西北側,57,學府里,大安區,63000030-057,63000030,121.54432,25.02076
500101038,YouBike2.0_臺大社科院圖書館前,大安區,辛亥路與復興南路口西南側,57,學府里,大安區,63000030-057,63000030,121.54284,25.02101
500101039,YouBike2.0_臺大法人語言訓練中心前,大安區,臺大法人語言訓練中心北側,57,學府里,大安區,63000030-057,63000030,121.54081,25.02104
500101040,YouBike2.0_臺大綜合體育館停車場前,大安區,臺大綜合體育館北側,57,學府里,大安區,63000030-057,63000030,121.53626,25.0222
500101041,YouBike2.0_辛亥新生路口東南側,大安區,辛亥新生路口東南側,57,學府里,大安區,63000030-057,63000030,121.53474,25.02218
500101042,YouBike2.0_基隆長興路口東側,大安區,基隆長興路口東側,57,學府里,大安區,63000030-057,63000030,121.54471,25.01727
500101193,YouBike2.0_基隆長興路口,大安區,基隆路/長興街(東南側),57,學府里,大安區,63000030-057,63000030,121.54435,25.01705
500119043,YouBike2.0_臺大男八舍東側,臺大專區,臺大男八舍東側,57,學府里,大安區,63000030-057,63000030,121.54531,25.01729
500119044,YouBike2.0_臺大禮賢樓東南側,臺大專區,臺大仰萃樓東南側,57,學府里,大安區,63000030-057,63000030,121.53759,25.01408
500119045,YouBike2.0_臺大農業陳列館北側,臺大專區,農業陳列館北側,57,學府里,大安區,63000030-057,63000030,121.53404,25.01839
500119046,YouBike2.0_臺大管理學院二館北側,臺大專區,管理學院二號館北側,57,學府里,大安區,63000030-057,63000030,121.53673,25.01355
500119047,YouBike2.0_臺大土木系館,臺大專區,臺大土木工程學系所南側,57,學府里,大安區,63000030-057,63000030,121.53844,25.01761
500119048,YouBike2.0_臺大大一女舍北側,臺大專區,臺大女一舍北側,57,學府里,大安區,63000030-057,63000030,121.53436,25.01547
500119049,YouBike2.0_臺大女九舍西南側,臺大專區,臺大女九舍西南側,57,學府里,大安區,63000030-057,63000030,121.53902,25.01937
500119050,YouBike2.0_臺大小福樓東側,臺大專區,臺大小福樓東側,57,學府里,大安區,63000030-057,63000030,121.5376,25.01846
500119052,YouBike2.0_臺大工綜館南側,臺大專區,臺大工學院東南側,57,學府里,大安區,63000030-057,63000030,121.54059,25.01857
500119053,YouBike2.0_臺大天文數學館南側,臺大專區,臺大天文數學館西南側,57,學府里,大安區,63000030-057,63000030,121.53783,25.02108
500119054,YouBike2.0_臺大心理系館南側,臺大專區,臺大心理學系南側,57,學府里,大安區,63000030-057,63000030,121.5404,25.01941
500119055,YouBike2.0_臺大樂學館東側,臺大專區,臺大文學院西側,57,學府里,大安區,63000030-057,63000030,121.53585,25.01793
500119056,YouBike2.0_臺大農化新館西側,臺大專區,臺大生化科技學系西側,57,學府里,大安區,63000030-057,63000030,121.53535,25.01627
500119057,YouBike2.0_臺大五號館西側,臺大專區,臺大生物系館西側,57,學府里,大安區,63000030-057,63000030,121.53718,25.01666
500119058,YouBike2.0_臺大舊體育館西側,臺大專區,臺大田徑場東側,57,學府里,大安區,63000030-057,63000030,121.53583,25.0198
500119059,YouBike2.0_臺大共同教室北側,臺大專區,臺大共同教學館東北側,57,學府里,大安區,63000030-057,63000030,121.53791,25.01595
500119060,YouBike2.0_臺大共同教室東南側,臺大專區,臺大共同教學館東南側,57,學府里,大安區,63000030-057,63000030,121.53786,25.01566
500119061,YouBike2.0_臺大鹿鳴堂東側,臺大專區,臺大鹿鳴廣場人行道側,57,學府里,大安區,63000030-057,63000030,121.53786,25.01511
500119062,YouBike2.0_臺大公館停車場西北側,臺大專區,臺大公館停車場西北側,57,學府里,大安區,63000030-057,63000030,121.53798,25.01345
500119063,YouBike2.0_臺大第二行政大樓南側,臺大專區,臺大行政大樓西側,57,學府里,大安區,63000030-057,63000030,121.53635,25.01603
500119064,YouBike2.0_臺大明達館機車停車場,臺大專區,臺大明達館西側,57,學府里,大安區,63000030-057,63000030,121.54398,25.01754
500119065,YouBike2.0_臺大二號館,臺大專區,臺大物理文物廳北側,57,學府里,大安區,63000030-057,63000030,121.53574,25.01699
500119066,YouBike2.0_臺大凝態館南側,臺大專區,臺大物理系館南側,57,學府里,大安區,63000030-057,63000030,121.53633,25.02157
500119067,YouBike2.0_臺大社科院西側,臺大專區,臺大社科院西側,57,學府里,大安區,63000030-057,63000030,121.54145,25.02053
500119068,YouBike2.0_臺大社會系館南側,臺大專區,臺大社會及社工館南側,57,學府里,大安區,63000030-057,63000030,121.54175,25.01987
500119069,YouBike2.0_臺大思亮館東南側,臺大專區,臺大思亮館東南側,57,學府里,大安區,63000030-057,63000030,121.53906,25.02074
500119070,YouBike2.0_臺大椰林小舖,臺大專區,臺大椰林小舖旁,57,學府里,大安區,63000030-057,63000030,121.53583,25.01561
500119071,YouBike2.0_臺大計資中心南側,臺大專區,臺大計算機網路資訊中心南側,57,學府里,大安區,63000030-057,63000030,121.53992,25.02036
500119072,YouBike2.0_臺大原分所北側,臺大專區,臺大原子與分子科學研究所東北側,57,學府里,大安區,63000030-057,63000030,121.53868,25.01881
500119073,YouBike2.0_臺大校史館南側,臺大專區,臺大校史館南側,57,學府里,大安區,63000030-057,63000030,121.53569,25.01751
500119074,YouBike2.0_臺大生命科學館西北側,臺大專區,臺大動物博物館西側,57,學府里,大安區,63000030-057,63000030,121.53825,25.01548
500119075,YouBike2.0_臺大第一活動中心西南側,臺大專區,第一學生活動中心東南側,57,學府里,大安區,63000030-057,63000030,121.53995,25.01761
500119076,YouBike2.0_臺大博理館西側,臺大專區,臺大博理館西側,57,學府里,大安區,63000030-057,63000030,121.54195,25.01922
500119077,YouBike2.0_臺大博雅館西側,臺大專區,臺大博雅館西側,57,學府里,大安區,63000030-057,63000030,121.536,25.0189
500119078,YouBike2.0_臺大森林館北側,臺大專區,臺大森林系學系北側,57,學府里,大安區,63000030-057,63000030,121.53888,25.01704
500119079,YouBike2.0_臺大一號館,臺大專區,臺大植物魚類標本館一號館北側,57,學府里,大安區,63000030-057,63000030,121.53455,25.01698
500119080,YouBike2.0_臺大小小福西南側,臺大專區,臺大進修教育大樓,57,學府里,大安區,63000030-057,63000030,121.53686,25.01539
500119081,YouBike2.0_臺大教研館北側,臺大專區,臺大雅頌廣場東南側,57,學府里,大安區,63000030-057,63000030,121.53909,25.01337
500119082,YouBike2.0_臺大四號館東北側,臺大專區,臺大園藝暨景觀學系北側,57,學府里,大安區,63000030-057,63000030,121.53781,25.01703
500119083,YouBike2.0_臺大新生教室南側,臺大專區,臺大新生教學館南側,57,學府里,大安區,63000030-057,63000030,121.53846,25.0196
500119084,YouBike2.0_臺大鄭江樓北側,臺大專區,臺大新聞研究所南側,57,學府里,大安區,63000030-057,63000030,121.54305,25.019
500119085,YouBike2.0_臺大電機二館東南側,臺大專區,臺大電機二館南側,57,學府里,大安區,63000030-057,63000030,121.54247,25.01857
500119086,YouBike2.0_臺大圖資系館北側,臺大專區,臺大圖書資訊館北側,57,學府里,大安區,63000030-057,63000030,121.53928,25.01804
500119087,YouBike2.0_臺大總圖書館西南側,臺大專區,臺大圖書館西南側,57,學府里,大安區,63000030-057,63000030,121.54031,25.0169
500119088,YouBike2.0_臺大黑森林西側,臺大專區,臺大霖澤館南側,57,學府里,大安區,63000030-057,63000030,121.54347,25.01995
500119090,YouBike2.0_臺大新體育館東南側,臺大專區,臺大體育館東側,57,學府里,大安區,63000030-057,63000030,121.53591,25.02112
500101001,YouBike2.0_捷運科技大樓站,大安區,復興南路二段235號前,36,群賢里,大安區,63000030-036,63000030,121.5436,25.02605
500101002,YouBike2.0_復興南路二段273號前,大安區,復興南路二段273號西側,36,群賢里,大安區,63000030-036,63000030,121.54357,25.02565
500101001,YouBike2.0_和平復興路口西北側,大安區,復興南路二段236號,36,群賢里,大安區,63000030-036,63000030,121.54332,25.02543
500101002,YouBike2.0_捷運科技大樓站(台北教育大學),大安區,和平東路二段134號前,36,群賢里,大安區,63000030-036,63000030,121.54459,25.02469
500106001,YouBike2.0_臺北自來水事業處,中正區,思源街1號東側,1,水源里,中正區,63000050-001,63000050,121.53068,25.013741
500106002,YouBike2.0_汀州思源街口東南側,中正區,汀州路三段思源街口東南側,1,水源里,中正區,63000050-001,63000050,121.531908,25.014697
500106003,YouBike2.0_捷運公館站(1號出口),中正區,羅斯福路四段68號,1,水源里,中正區,63000050-001,63000050,121.534374,25.014529
500106004,YouBike2.0_捷運公館站(4號出口),中正區,羅斯福路四段48號,1,水源里,中正區,63000050-001,63000050,121.533828,25.015069
500106090,YouBike2.0_自來水園區,中正區,中正區思源街16號對面人行道,1,水源里,中正區,63000050-001,63000050,121.53004,25.01328
500119005,YouBike2.0_臺大水源舍區A棟,臺大專區,汀洲路三段60巷2弄路側(A舍北側),2,富水里,中正區,63000050-002,63000050,121.53044,25.01493
500119006,YouBike2.0_臺大卓越研究大樓,臺大專區,臺大水源舍區C南側,2,富水里,中正區,63000050-002,63000050,121.52917,25.01466
500119007,YouBike2.0_臺大水源修齊會館,臺大專區,思源街16號之1旁,2,富水里,中正區,63000050-002,63000050,121.52997,25.01411
500119008,YouBike2.0_臺大檔案展示館,臺大專區,臺大檔案展示館東北側,2,富水里,中正區,63000050-002,63000050,121.52895,25.01391
500119009,YouBike2.0_臺大水源舍區B棟,臺大專區,汀洲路三段60巷2弄路側(B舍北側),2,富水里,中正區,63000050-002,63000050,121.53009,25.01525
