所屬區域,站位編號,站位名稱,站點位置,早九可借車數,早九空柱數量,早九借車人數,早九還車人數,晚五可借車數,晚五空柱數量,晚五借車人數,晚五還車人數,總車柱,早九可借車數,早九空柱數量,晚五可借車數,晚五空柱數量
捷運公館站周邊,1-1,捷運公館站(1號出口),羅斯福路四段68號,5,7,15,14,3,9,3,20,12,2,10,1,11
捷運公館站周邊,1-2,捷運公館站(2號出口),捷運公館站(2號出口)外側,48,51,36,25,38,61,9,43,99,24,75,27,72
捷運公館站周邊,1-3,臺大大一女舍北側,臺大女一舍北側,4,49,26,18,5,48,9,31,53,0,53,0,53
捷運公館站周邊,1-4,捷運公館站(4號出口),羅斯福路四段48號,5,7,9,9,4,8,3,11,12,2,10,2,10
水源校區,2-1,臺大水源舍區B棟,汀洲路三段60巷2弄路側(B舍北側),8,22,0,0,10,20,0,0,30,4,26,5,25
水源校區,2-2,臺大水源舍區A棟,汀洲路三段60巷2弄路側(A舍北側),6,31,1,0,7,30,0,5,37,0,37,3,34
水源校區,2-3,臺大卓越研究大樓,臺大水源舍區C南側,8,24,0,0,9,23,0,0,32,4,28,4,28
水源校區,2-4,臺大檔案展示館,臺大檔案展示館東北側,6,4,0,0,4,7,0,5,10,10,0,9,1
水源校區,2-5,臺大水源修齊會館,思源街16號之1旁,10,8,0,0,6,12,0,0,18,18,0,3,15
水源校區,2-6,自來水園區,中正區思源街16號對面人行道,8,12,0,0,10,10,0,0,20,4,16,5,15
水源校區,2-7,臺北自來水事業處,思源街1號東側,10,10,0,0,4,16,0,0,20,20,0,2,18
管院區,3-1,銘傳國小側門,羅斯福路四段21號旁天橋下,3,4,0,0,3,4,0,0,7,2,5,1,6
管院區,3-2,臺大管理學院二館北側,管理學院二號館北側,8,3,0,11,7,4,2,6,11,11,0,10,1
管院區,3-3,臺大禮賢樓東南側,臺大仰萃樓東南側,14,9,0,0,20,3,0,3,23,23,0,23,0
管院區,3-4,臺大公館停車場西北側,臺大公館停車場西北側,5,7,0,3,6,6,0,9,12,2,10,3,9
管院區,3-5,臺大教研館北側,臺大雅頌廣場東南側,10,1,0,2,11,0,2,9,11,11,0,11,0
