,V1,V2
1,1,新生南路三段52號前
2,2,新生南路三段66號前
3,3,新生南路三段82號前
4,4,辛亥路一段30號前
5,5,羅斯福路三段311號前
6,6,羅斯福路三段245號前
7,7,溫州公園
8,8,溫州停車場
9,9,新生南路三段94巷口
10,10,銘傳國小側門
11,11,捷運公館站(2號出口)
12,12,臺大男一舍前
13,13,臺大男六舍前
14,14,臺大社科院圖書館前
15,15,臺大法人語言訓練中心前
16,16,臺大綜合體育館停車場前
17,17,辛亥新生路口東南側
18,18,基隆長興路口東側
19,19,基隆長興路口
20,20,臺大男八舍東側
21,21,臺大禮賢樓東南側
22,22,臺大農業陳列館北側
23,23,臺大管理學院二館北側
24,24,臺大土木系館
25,25,臺大大一女舍北側
26,26,臺大女九舍西南側
27,27,臺大小福樓東側
28,28,臺大工綜館南側
29,29,臺大天文數學館南側
30,30,臺大心理系館南側
31,31,臺大樂學館東側
32,32,臺大農化新館西側
33,33,臺大五號館西側
34,34,臺大舊體育館西側
35,35,臺大共同教室北側
36,36,臺大共同教室東南側
37,37,臺大鹿鳴堂東側
38,38,臺大公館停車場西北側
39,39,臺大第二行政大樓南側
40,40,臺大明達館機車停車場
41,41,臺大二號館
42,42,臺大凝態館南側
43,43,臺大社科院西側
44,44,臺大社會系館南側
45,45,臺大思亮館東南側
46,46,臺大椰林小舖
47,47,臺大計資中心南側
48,48,臺大原分所北側
49,49,臺大校史館南側
50,50,臺大生命科學館西北側
51,51,臺大第一活動中心西南側
52,52,臺大博理館西側
53,53,臺大博雅館西側
54,54,臺大森林館北側
55,55,臺大一號館
56,56,臺大小小福西南側
57,57,臺大教研館北側
58,58,臺大四號館東北側
59,59,臺大新生教室南側
60,60,臺大鄭江樓北側
61,61,臺大電機二館東南側
62,62,臺大圖資系館北側
63,63,臺大總圖書館西南側
64,64,臺大黑森林西側
65,65,臺大新體育館東南側
66,66,捷運科技大樓站
67,67,復興南路二段273號前
68,68,和平復興路口西北側
69,69,運科技大樓站(台北教育大學)
70,70,臺北自來水事業處
71,71,捷運公館站(1號出口)
72,72,捷運公館站(4號出口)
73,73,自來水園區
74,74,臺大水源舍區A棟
75,75,臺大卓越研究大樓
76,76,臺大水源修齊會館
77,77,臺大檔案展示館
78,78,臺大水源舍區B棟
79,79,臺大土木研究大樓前
80,80,捷運臺電大樓站(1號出口)
81,81,捷運臺電大樓站(2號出口)
